MatchName,Week,Stage,GameNumber,MatchWinner,MatchLoser,TournamentName,TournamentLocation
C9 vs TSM,1,,1,Cloud9,Team SoloMid,LCS 2015 Season Summer,North America
TDK vs Liquid,1,,1,Team Liquid,Team Dragon Knights,LCS 2015 Season Summer,North America
CLG vs d,1,,1,Counter Logic Gaming,Team Dignitas,LCS 2015 Season Summer,North America
T8 vs TiP,1,,1,Team Impulse,Team 8,LCS 2015 Season Summer,North America
GV vs NME,1,,1,Enemy,Gravity,LCS 2015 Season Summer,North America
Liquid vs T8,1,,1,Team Liquid,Team 8,LCS 2015 Season Summer,North America
d vs C9,1,,1,Team Dignitas,Cloud9,LCS 2015 Season Summer,North America
TiP vs CLG,1,,1,Counter Logic Gaming,Team Impulse,LCS 2015 Season Summer,North America
TSM vs NME,1,,1,Team SoloMid,Enemy,LCS 2015 Season Summer,North America
TDK vs GV,1,,1,Team Dragon Knights,Gravity,LCS 2015 Season Summer,North America
NME vs Liquid,2,,1,Team Liquid,Enemy,LCS 2015 Season Summer,North America
C9 vs GV,2,,1,Gravity,Cloud9,LCS 2015 Season Summer,North America
TSM vs TiP,2,,1,Team SoloMid,Team Impulse,LCS 2015 Season Summer,North America
T8 vs CLG,2,,1,Counter Logic Gaming,Team 8,LCS 2015 Season Summer,North America
d vs TDK,2,,1,Team Dignitas,Team Dragon Knights,LCS 2015 Season Summer,North America
C9 vs TiP,2,,1,Team Impulse,Cloud9,LCS 2015 Season Summer,North America
Liquid vs GV,2,,1,Gravity,Team Liquid,LCS 2015 Season Summer,North America
CLG vs TSM,2,,1,Team SoloMid,Counter Logic Gaming,LCS 2015 Season Summer,North America
TDK vs NME,2,,1,Enemy,Team Dragon Knights,LCS 2015 Season Summer,North America
T8 vs d,2,,1,Team Dignitas,Team 8,LCS 2015 Season Summer,North America
