Safir,Mohammad Karim Tokhi, Team ROCCAT, Afghanistan,AD
Kanani,Lamine-Lounis Khouani, Team AURORA, Algeria,Jungler
Adrelina,Nicolas Gutierrez, Guerreros del Mouse, Argentina,Support
Alfred,Alfredo Gonzalez, Freedom Dive, Argentina,AD
Ankzu,Guido Sergio Bosi, Furious Gaming, Argentina,Sub
Badmilk,Enrique Arbizu, Last Kings, Argentina,Support
BlackLotus,Matias Milla, Freedom Dive, Argentina,Support
CallMeLucky,Alejandro Ko, Guerreros del Mouse, Argentina,
Caos,Nicolás Guzmán, Isurus Gaming, Argentina,Sub
Dinamox,Javier Korhasanoglu, Furious Gaming, Argentina,Mid
Dishake,Gonzalo D'iapico, Stomp eSports, Argentina,Support
DobleNelson,Nelson Guido, Hafnet eSports, Argentina,Sub
Genos,Tomas Martinez, Virtus Legion, Argentina,Jungle
Genthix,Mariano Polonsky, Furious Gaming, Argentina,Support
GodNivia,Fede Cesaretti, Dynasty Gaming, Argentina,Mid
Gonto,Alan Gontovnikas, Furious Gaming, Argentina,Jungler
Hydra,Luca Grieco, Galactic Gamers, Argentina,Mid
JETnT,Nicolas Spikerman, Coliseo Dragons, Argentina,Sub
Khynm,Cristian Gabriel Alonso Roussy, Hafnet eSports, Argentina,Jungler
Kuruk,Mateo Miccino, Agresiv, Argentina,Jungler
Kvrof,Alejo Vazquez, Hafnet eSports, Argentina,Sub
lRoma,Lucas Romano, Guerreros del Mouse, Argentina,Top
Le Smart,Facundo Canteros, Hafnet eSports, Argentina,Mid
LePuma,Juan José Palomeque, Virtus Legion, Argentina,Mid
Minibestia,Jesus Coll, Robert Morris University, Argentina,Support
nGrafo,Nicolas Graffigna, Freedom Dive, Argentina,Sub
Naryt,Santiago Bileta, Isurus Gaming, Argentina,Manager
Newbie,Leandro Marcos, Isurus Gaming, Argentina,Support
Nipphu,Franco Funes, Last Kings, Argentina,Top
Nothing,Brandon Merlo, Nocturns Gaming, Argentina,AD
PkerHide,Francisco Dente, Freedom Dive, Argentina,Mid
Prodigy,Agustin Juárez, Furious Gaming, Argentina,AD
Renk0n,Fernando Martín Besteiro, Dynasty Gaming Wildcats, Argentina,Top
Rod,Rodrigo Altieri, Nocturns Gaming, Argentina,Jungler
Romanilly,Gonzalo Andres Manzano, Guerreros del Mouse, Argentina,Jungler
Ruo,Federico Dell'Immágine, Virtus Legion, Argentina,Top
Sparks,Benjamin Covarrubias, Freedom Dive, Argentina,Top
Suiiki,Facundo Mascheroni, Guerreros del Mouse, Argentina,Mid
Tomex,Tomás Alloti, Hafnet eSports, Argentina,Support
TomnaM,Enzo Ferreira, Bencheados, Argentina,AD
TooHot,Martin Galara, Coliseo Dragons, Argentina,Mid
Tsunami,Hernan Acosta Arencon, Nocturns Gaming, Argentina,Support
Tuqueiro,Mariano Collazo, Agresiv, Argentina,Top
WhiteLotus,Matías Musso, Last Kings, Argentina,AD
zEkO,Federico Cristalino, Agresiv, Argentina,Mid
Edward,Edward Abgaryan, Team ROCCAT, Armenia,Support
Bma,Brendan Ma, Trident Esports, Australia,Mid
Btka,Richard Dodd, Alpha Sydney, Australia,Mid
Carbon,Tim Wendel, Legacy eSports, Australia,Jungler
Cheese,Daniel Brown, The Chiefs eSports Club, Australia,Sub
Cheny,James Chen, Sudden Fear, Australia,Mid
ChuChuZ,Aaron Bland, Legacy eSports, Australia,Mid
Claire,Brandon Nguyen, Trident Esports, Australia,Mid
Destiny,Mitchell Shaw, Avant Garde, Australia,AD
EGym,Bryce Paule, The Chiefs eSports Club, Australia,Support
Edition,Patrick Nguyen, Trident Esports, Australia,AD
Frae,Leon Lee, Hellions e-Sports Club, Australia,AD
Frogadog,Michael Cornish, Alpha Sydney, Australia,Top
Impaired,Elliot Capell, Trident Esports, Australia,Jungler
Jayke,Jayke Paulsen, Trident Esports, Australia,Support
k1ng,Calvin Truong, Legacy eSports, Australia,AD
Mattress,Chris Manolis, Infernum Gaming, Australia,Coach
Midbeast,Drew Timbs, Infernum Gaming, Australia,Mid
Minkywhale,An Viet Trinh, Legacy eSports, Australia,Coach
Newto,Joshua Newton, Alpha Sydney, Australia,Support
Nex,Andre Brandle, Avant Garde Redemption, Australia,Top
JKSmithy,Justin Smith, Team Immunity, Australia,Top
Only,Jordan Middleton, Alpha Sydney, Australia,Jungler
Phantiks,Richard Su, Dire Wolves, Australia,Mid
RYmeister,Jason Ryan, Sin Gaming, Australia,Mid
Raydere,Derek Trang, The Chiefs eSports Club, Australia,AD
Regret9,Curtis Schembri, Legacy eSports, Australia,Support
Rippii,Nathan Mott, Dire Wolves, Australia,Jungler
Rosey,Andrew Rose, Chiefs Black, Australia,Support
Seb,Sebastian De Ceglie, Infernum Gaming, Australia,Jungler
Sharp,Curtis Morgan, Dire Wolves, Australia,Top
Snoopy,Trong Truong, Team Immunity, Australia,Sub
Spookz,Samuel Broadley, The Chiefs eSports Club, Australia,Jungler
Stealthix,Nicholas Tian, Infernum Gaming, Australia,AD
Straawbella,Isabella Chan, Abyss Esports Red, Australia,Support
Swiffer,Simon Papamarkos, The Chiefs eSports Club, Australia,Mid
Swip3rR,Brandon Holland, The Chiefs eSports Club, Australia,Top
Tally,James Shute, Legacy eSports, Australia,Top
Trashboat,Kristiano Luk_i_, Sin Gaming, Australia,AD
Triple,Stephen Li, Avant Garde, Australia,Mid
UberBro,David Uebergang, Team Immunity, Australia,AD
Warble,Kieran Brown, Avant Garde, Australia,AD
Wiffle,Steven Knights, Infernum Gaming, Australia,Support
Wzrd,Joshua Russell, Trident Esports, Australia,Mid
Yuzuki,Damian Tu, Infernum Gaming, Australia,Support
SunnyXX,Josef Schusteritsch, TTD Toybox, Austria,AD
DreAmZyY,Thomas De Cock, GSI Gaming, Belgium,Top
je suis kaas,Christophe van Oudheusden, Huma, Belgium,Support
Moopz,Amaury Minguerche, Team Vitality, Belgium,Support
Luiyi,Luis Condori, Red Arrows Team, Bolivia,Jungler
4LaN,Alanderson Meireles, Overload, Brazil,Jungler
Alocs,Leonardo Belo, g3nerationX, Brazil,Support
Anjinho,Roberto Buzzoleti, Santos Dexterity, Brazil,Coach
Aoshi,Franklin Coutinho, CNB e-Sports Club, Brazil,Top
Ayel,Marcelo Mello, RED Canids, Brazil,Top
Baiano,Gustavo Gomes, Keyd Stars, Brazil,Support
BocaJR,Emerson Alencar, Robot E-Sports Team, Brazil,Support
brTT,Felipe Gonçalves, paiN Gaming, Brazil,AD
Brucer,Bruno Pereira, RED Canids, Brazil,Mid
Cabuloso,Victor Oliveira, Remo Brave e-Sports, Brazil,Support
Caos,Jonas Cardoso Vriesman, RED Canids, Brazil,Sub
Danagorn,Daniel Drummond, KaBuM! e-Sports, Brazil,Sub
dans,Daniel Dias, KaBuM! e-Sports, Brazil,Sub
Djokovic,Thiago Maia, CNB e-Sports Club, Brazil,Coach
DudsTheBoy,Igor Lima Homem, Overload, Brazil,AD
Eryon,Márcio Costa Jordão da Silveira Reis, RED Canids, Brazil,Support
esA,André Eidi Yanagimachi Pavezi, Keyd Stars, Brazil,AD
Espeon,Martin Gonçalves, Overload, Brazil,Support
Evrot,Danniel Franco, Remo Brave e-Sports, Brazil,Mid
EzPrince,Victor Sun, Operation Kino e-Sports, Brazil,AD
Freire,Matheus Freire, Remo Brave e-Sports, Brazil,Jungler
GGNiko,Nicholas Bocchi, CNB Trinity White, Brazil,Support
Gikko,Giordano Pereira, CNB Trinity Blue, Brazil,AD
Goku,Bruno Miyaguchi, Operation Kino e-Sports, Brazil,Mid
Jockster,Luan Cardoso, INTZ e-Sports, Brazil,Support
Kalec,Rodrigo Rodrigues, Robot E-Sports Team, Brazil,AD
Kami,Gabriel Santos, paiN Gaming, Brazil,Mid
Krastyel,Marcos Ferraz, Overload, Brazil,Mid
