Ê2144 Danmu Gaming,Major,China,China
Ê2144 Gaming,Major,China,China
Ê269 Gaming,Major,Southeast Asia,Asia & Oceana
Ê2Kill Gaming,Minor,Brazil,Americas
Ê7th heaven,Premier,Japan,Asia & Oceana
ÊAcer Green Team,Minor,Southeast Asia,Asia & Oceana
ÊAfreeca Freecs,Premier,Korea,Korea
Êagainst All authority,Minor,Europe,Europe
Êahq e-Sports Club,Premier,Taiwan,Taiwan
ÊAlways With Honor,Major,Turkey,Europe
ÊAn Phat Ultimate,Major,Southeast Asia,Asia & Oceana
ÊANOX,Major,CIS,Europe
ÊApex Gaming,Major,North America,Americas
ÊAssassin Sniper,Major,Taiwan,Taiwan
ÊATLAS eSports Team,Major,Turkey,Europe
ÊAvant Garde,Premier,Oceania,Asia & Oceana
ÊBangkok Titans,Premier,Southeast Asia,Asia & Oceana
ÊBaskonia eSports,Minor,Europe,Europe
ÊBeast Mode,Minor,Latin America South,Americas
ÊBencheados,Major,Latin America South,Americas
ÊBe_ikta_.OH,Premier,Turkey,Europe
ÊBig Gods,Premier,Brazil,Americas
ÊBlackbean,Minor,Southeast Asia,Asia & Oceana
ÊBoba Marines,Premier,Southeast Asia,Asia & Oceana
ÊBrawL.LAN,Major,Latin America North,Americas
Ê‚_LEKLER,Premier,Turkey,Europe
ÊCJ Entus,Premier,Korea,Korea
ÊCLG Black,Minor,North America,Americas
ÊCloud9,Premier,North America,Americas
ÊCNB e-Sports Club,Premier,Brazil,Americas
ÊCNB Infinity,Major,Brazil,Americas
ÊCopenhagen Wolves,Major,Europe,Europe
ÊCOUGAR E-Sport,Premier,Taiwan,Taiwan
ÊCounter Logic Gaming,Premier,North America,Americas
ÊCrew e-Sports Club,Major,Turkey,Europe
ÊDark Passage,Premier,Turkey,Europe
ÊDark Wolves,Major,Korea,Korea
ÊDash9 Gaming,Premier,Latin America North,Americas
ÊDetonatioN Gaming,Premier,Japan,Asia & Oceana
ÊDire Wolves,Premier,Oceania,Asia & Oceana
ÊDream Team,Major,North America,Americas
ÊDreamCatcher,Major,Taiwan,Taiwan
ÊDynasty Gaming,Minor,Latin America South,Americas
ÊE-corp Gaming,Minor,Europe,Europe
ÊEcho Fox,Premier,North America,Americas
ÊEDward Esports,Major,China,China
ÊEDward Gaming,Premier,China,China
ÊElements,Premier,Europe,Europe
ÊEmber,Major,North America,Americas
ÊEnemy,Major,North America,Americas
ÊEnergy Pacemaker.All,Premier,China,China
ÊEver,Major,Korea,Korea
ÊEver8 Winners,Major,Korea,Korea
ÊeXtreme Gamers,Premier,Taiwan,Taiwan
ÊFlash Husky,Major,Taiwan,Taiwan
ÊFlash Wolves,Premier,Taiwan,Taiwan
ÊFlash Wolves Girls,Minor,Taiwan,Taiwan
ÊFM eSports,Minor,Europe,Europe
ÊFnatic,Premier,Europe,Europe
ÊForce Of Nature,Minor,Latin America South,Americas
ÊFreedom Dive,Major,Latin America South,Americas
ÊFull Louis,Premier,Southeast Asia,Asia & Oceana
ÊFurious Gaming,Premier,Latin America South,Americas
ÊG2 Esports,Premier,Europe,Europe
Êg3nerationX,Major,Brazil,Americas
ÊGalactic Gamers,Premier,Latin America North,Americas
ÊGambit.CIS,Major,CIS,Europe
ÊGashBears,Major,Taiwan,Taiwan
ÊGiants Gaming,Premier,Europe,Europe
ÊGiants Underdoges,Minor,Europe,Europe
ÊGirls HK by Logitech,Minor,Taiwan,Taiwan
ÊGo To Sleep,Major,Southeast Asia,Asia & Oceana
ÊGuerreros del Mouse,Minor,Latin America South,Americas
ÊH2k-Gaming,Premier,Europe,Europe
ÊHafnet eSports,Premier,Latin America South,Americas
ÊHanoi Fate,Minor,Southeast Asia,Asia & Oceana
ÊHard Random,Premier,CIS,Europe
ÊHard Random Academy,Major,CIS,Europe
ÊHavoks Gaming,Premier,Latin America North,Americas
ÊHellions e-Sports Club,Major,Oceania,Asia & Oceana
ÊHong Kong Esports,Premier,Taiwan,Taiwan
ÊHuma,Major,Europe,Europe
ÊHWA Gaming,Premier,Turkey,Europe
ÊHyper Youth Gaming,Premier,China,China
ÊIdeal World,Major,CIS,Europe
ÊIlluminar Honor Gaming,Minor,Europe,Europe
ÊImmortals,Premier,North America,Americas
ÊImperial Esports,Major,Turkey,Europe
ÊImperium Pro Team,Major,Southeast Asia,Asia & Oceana
ÊIN Gaming,Major,China,China
ÊIncredible Miracle Athena,Minor,Korea,Korea
ÊInfernum Gaming,Major,Oceania,Asia & Oceana
ÊInspire eSports,Major,Europe,Europe
ÊINTZ e-Sports,Premier,Brazil,Americas
ÊInvictus Gaming,Premier,China,China
ÊIsurus Gaming,Premier,Latin America South,Americas
ÊJakarta Juggernauts,Major,Southeast Asia,Asia & Oceana
ÊJin Air Green Wings,Premier,Korea,Korea
ÊK1ck Black,Minor,Europe,Europe
ÊKaBuM! e-Sports,Premier,Brazil,Americas
ÊKanaya Gaming,Major,Southeast Asia,Asia & Oceana
ÊKaos Latin Gamers,Premier,Latin America South,Americas
ÊKeyd Stars,Premier,Brazil,Americas
ÊKongdoo Monster,Premier,Korea,Korea
ÊKT Rolster,Premier,Korea,Korea
ÊKuala Lumpur Hunters,Premier,Southeast Asia,Asia & Oceana
ÊLast Kings,Premier,Latin America South,Americas
ÊLegacy eSports,Premier,Oceania,Asia & Oceana
ÊLegend Dragon,Major,China,China
ÊLGD Gaming,Premier,China,China
ÊLogi-A Team,Minor,Taiwan,Taiwan
ÊLongzhu Gaming,Premier,Korea,Korea
ÊLyon Gaming,Premier,Latin America North,Americas
ÊMachi E-Sports,Premier,Taiwan,Taiwan
ÊMasters 3,Premier,China,China
ÊMF Gaming,Major,China,China
