Name,Start Date,End Date,Location,Final Winner,Runner Up
LCS 2015 Season Summer,5/30/15,8/23/15,North America,Counter Logic Gaming,Team SoloMid
LCS 2015 Season Spring,1/22/15,4/19/15,North America,Team SoloMid,Cloud9
LCS 2015 Season Spring,1/22/15,4/19/15,North America,Team SoloMid,Cloud9
LCS 2014 Season Summer,5/20/14,8/17/14,North America,Team SoloMid,Cloud9
LCS 2014 Season Spring,1/14/14,4/17/14,North America,Cloud9,Team SoloMid
LCS Season 3 Summer,6/15/13,8/25/13,North America,Cloud9,Team SoloMid
LCS Season 3 Spring,2/9/13,4/28/13,North America,Team SoloMid,Good Game University
2015 NA Challenger Series Summer Playoffs,8/4/15,8/12/15,North America,Renegades,Team Coast
2015 NA Challenger Series Spring Playoffs,3/31/15,4/8/15,North America,Enemy,Team Dragon Knights
2014 NA Challenger Series Playoffs Summer,8/5/14,8/8/14,North America,Team 8,Curse Academy
2014 NA Challenger Series #2 Summer,6/28/14,8/2/14,North America,Team Coast,Curse Academy
2014 NA Challenger Series #1 Summer,5/17/14,6/22/14,North America,Team Coast,Team LoLPro
2014 NA Challenger Series Playoffs Spring,4/4/14,4/13/14,North America,LMQ,Cloud9 Tempest
2014 NA Challenger Series #2 Spring,3/1/14,3/28/14,North America,LMQ,Cloud9 Tempest
2014 NA Challenger Series #1 Spring,1/17/14,2/16/14,North America,LMQ,ÊcompLexity.Black
HTC Ascension,11/3/15,12/6/15,North America,Team Liquid Academy,Team Frostbite
AlphaDraft Challenger League,4/14/15,5/17/15,North America,Misfits,Frank Fang Gaming
Press Start LAN 2015,5/9/15,5/10/15,North America,Team Coast,Frank Fang Gaming
League One Powered by D!ngIt,3/9/15,4/10/15,North America,Cloud9 Tempest,Dadslammers
LAN ETS 2015,3/6/15,3/8/15,North America,Freebirds,Low Voltage Esports
ESL Pro Series America - Season XI,1/8/15,1/11/15,North America,Team Fusion,Team Dragon Knights
BMC NA Winter 2014,11/24/14,12/17/14,North America,Enemy,Glory Eternal
BMC NA Fall 2014,7/14/14,11/3/14,North America,Team LoLPro,Enemy
BMC NA Summer 2014,4/30/14,6/11/14,North America,Team 8,Frank Fang Gaming
Lone Star Clash 3,5/3/14,5/4/14,North America,Team 8,Cloud9 Tempest
BMC NA Spring 2014,4/19/14,4/20/14,North America,Team 8,COGnitive Gaming
National ESL Pro Series Season IX,2/6/14,4/20/14,North America,LMQ,Curse Academy
North American Challenger League Season 2,2/17/14,3/26/14,North America,LMQ,Team 8
LAN ETS 2014,2/28/14,3/2/14,North America,Armata Gaming,Les Tourne-Vis ƒtoiles
Razer League of Legends Holiday Bash,12/28/13,12/29/13,North America,Team LoLPro,Team 8
Amateur League Championship Series,10/18/13,12/19/13,North America,Curse Academy,Team LoLPro
National ESL Pro Series Season VIII,10/19/13,12/18/13,North America,Team Coast,Curse Academy
North American Challenger League,10/7/13,12/15/13,North America,Team Coast,compLexity Gaming
MOBAFire Challenger Series,7/8/13,9/11/13,North America,compLexity Gaming,Napkins in Disguise
Lanhammer 2013,8/17/13,8/18/13,North America,LAN at Duyen's House,DawnGate
National ESL Pro Series Season VII,7/13/13,8/18/13,North America,compLexity Gaming,Denial eSports
2013 MLG Spring Championship,6/28/13,6/30/13,North America,FXOpen e-Sports,compLexity Gaming
National ESL Pro Series Season VI,4/5/13,6/8/13,North America,Cloud9,Velocity eSports
LCS Summer Promotion IPL Qual.,4/1/13,4/12/13,North America,Quantic Gaming,Curse Academy
LAN ETS 2013,3/1/13,3/3/13,North America,Armata Gaming,Dancing Toboggans
SoloMid IPL6 Qualifier,2/9/13,2/24/13,North America,Square Duck,Curse Academy
CLG Premier Series,1/28/13,2/4/13,North America,Curse Academy,Azure Cats
National ESL Pro Series Season 5,12/5/12,2/1/13,North America,Team Curse,Team Dignitas
Solomid NA Invitational 12,1/5/13,1/6/13,North America,Team FeaR,Team Curse
